,filename,entry number
26740,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,720
32490,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,786
37768,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,819
24432,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,821
39152,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,969
44234,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,1032
11017,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,6
72566,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,64
24381,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,152
44497,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,183
32204,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,233
27369,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,264
31358,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,584
19939,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,698
71955,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,712
42089,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,716
73717,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,804
31672,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,950
12264,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,972
40899,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,977
1584,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,1054
40010,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0034.lmdb,1088
75643,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,69
18510,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,205
3318,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,294
22262,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,328
34076,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,430
7129,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,760
38343,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,786
42527,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,842
4276,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,888
28327,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,973
71777,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,1027
6469,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0035.lmdb,1063
39494,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,35
35867,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,204
5023,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,325
21467,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,529
25071,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,647
82477,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,695
70646,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,736
14533,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,738
4962,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0036.lmdb,745
7009,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,326
36323,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,548
75064,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,563
39790,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,601
73496,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,662
15366,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,772
77746,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,838
69894,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,868
76839,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,927
71906,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0038.lmdb,72
17298,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0038.lmdb,85
21933,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0038.lmdb,128
40235,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0038.lmdb,752
8326,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0038.lmdb,882
16533,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0038.lmdb,997
9557,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0038.lmdb,1107
74645,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,13
36012,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,211
16665,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,288
22384,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,342
70767,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,344
21196,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,501
11033,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,517
22080,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,625
37986,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,627
2018,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0039.lmdb,853
27186,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0040.lmdb,96
11477,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0040.lmdb,100
24257,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0040.lmdb,122
31889,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0040.lmdb,251
36817,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0040.lmdb,501
30692,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0040.lmdb,841
73178,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0040.lmdb,1085
78064,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0005.lmdb,5
82678,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0007.lmdb,23
19080,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0008.lmdb,15
28953,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0011.lmdb,19
31223,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0015.lmdb,45
27865,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0018.lmdb,17
28906,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0020.lmdb,57
78490,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0022.lmdb,34
29668,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0026.lmdb,12
42628,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0027.lmdb,37
34581,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0027.lmdb,52
9571,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0032.lmdb,51
4436,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0039.lmdb,44
70327,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_id/data.0040.lmdb,24
73228,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0002.lmdb,61
74463,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0004.lmdb,60
16268,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0006.lmdb,41
38380,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0007.lmdb,58
71731,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0008.lmdb,32
35297,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0012.lmdb,7
25640,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0012.lmdb,66
1525,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0013.lmdb,48
15686,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0014.lmdb,34
27979,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0015.lmdb,26
71666,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0017.lmdb,45
69798,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0018.lmdb,16
71186,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0019.lmdb,7
5588,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0023.lmdb,32
32465,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0025.lmdb,45
28582,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0026.lmdb,7
2248,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0026.lmdb,65
35244,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0034.lmdb,5
72010,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0034.lmdb,25
3696,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0036.lmdb,26
25281,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0036.lmdb,37
76329,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0038.lmdb,37
8967,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0038.lmdb,45
70799,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0039.lmdb,45
45807,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/val_ood/data.0040.lmdb,31
